Protein,GN,Species
Q9NUY8,TBC1D23,Homo sapiens
O95455,TGDS,Homo sapiens
Q9Y5Q9,GTF3C3,Homo sapiens
P01033,TIMP1,Homo sapiens
P29401,TKT,Homo sapiens
O14746,TERT,Homo sapiens
Q9ULW0,TPX2,Homo sapiens
Q495A1,TIGIT,Homo sapiens
Q969K7,TMEM54,Homo sapiens
Q15633,TARBP2,Homo sapiens
O00300,TNFRSF11B,Homo sapiens
Q7Z4G4,TRMT11,Homo sapiens
P15090,FABP4,Homo sapiens
P41161,ETV5,Homo sapiens
Q86XD5,FAM131B,Homo sapiens
P12104,FABP2,Homo sapiens
A6NDY2,FAM90A10P,Homo sapiens
Q9P2D6,FAM135A,Homo sapiens
Q9BZE7,C22orf23,Homo sapiens
Q8N9Y4,FAM181A,Homo sapiens
O75844,ZMPSTE24,Homo sapiens
A6NFU0,FAM187A,Homo sapiens
A6NGS2,ERICH4,Homo sapiens
Q8N0U4,FAM185A,Homo sapiens
P78312,FAM193A,Homo sapiens
O94905,ERLIN2,Homo sapiens
Q9Y5M1,FAM215A,Homo sapiens
Q8NEG4,FAM83F,Homo sapiens
Q8NHP7,EXD1,Homo sapiens
A6ND36,FAM83G,Homo sapiens
F5H4B4,FAM227A,Homo sapiens
Q96GI7,FAM89A,Homo sapiens
Q9UBU6,FAM8A1,Homo sapiens
Q86YB8,ERO1B,Homo sapiens
A6NKX1,FAM223B,Homo sapiens
H3BQW9,FAM229A,Homo sapiens
Q9H0X4,FAM234A,Homo sapiens
A2RU67,FAM234B,Homo sapiens
B1AK53,ESPN,Homo sapiens
O15083,ERC2,Homo sapiens
P13804,ETFA,Homo sapiens
Q8TE67,EPS8L3,Homo sapiens
Q5NDL2,EOGT,Homo sapiens
Q9UBC2,EPS15L1,Homo sapiens
P19447,ERCC3,Homo sapiens
Q96J88,EPSTI1,Homo sapiens
B3EWF7,EPM2A,Homo sapiens
Q6UW88,EPGN,Homo sapiens
Q5XG92,CES4A,Homo sapiens
Q96RU3,FNBP1,Homo sapiens
P06744,GPI,Homo sapiens
P11413,G6PD,Homo sapiens
Q9BT04,FUZ,Homo sapiens
P22083,FUT4,Homo sapiens
Q2WGN9,GAB4,Homo sapiens
O60861,GAS7,Homo sapiens
Q13069,GAGE5,Homo sapiens
P51570,GALK1,Homo sapiens
Q9BRQ8,AIFM2,Homo sapiens
Q86SF2,GALNT7,Homo sapiens
Q10472,GALNT1,Homo sapiens
A0A1B0GV03,GOLGA6L7,Homo sapiens
P0CL81,GAGE12G,Homo sapiens
P23378,GLDC,Homo sapiens
Q9UJ14,GGT7,Homo sapiens
Q16445,GABRA6,Homo sapiens
Q8WWB7,GLMP,Homo sapiens
Q9H227,GBA3,Homo sapiens
O43716,GATC,Homo sapiens
P07359,GP1BA,Homo sapiens
Q14956,GPNMB,Homo sapiens
Q5UAW9,GPR157,Homo sapiens
Q9BQQ3,GORASP1,Homo sapiens
Q14410,GK2,Homo sapiens
P0C5Y9,H2AB1,Homo sapiens
P16104,H2AX,Homo sapiens
Q7RTV2,GSTA5,Homo sapiens
A0A096LPI5,CCDC28A-AS1,Homo sapiens
Q58FF6,HSP90AB4P,Homo sapiens
Q14520,HABP2,Homo sapiens
P08397,HMBS,Homo sapiens
P49773,HINT1,Homo sapiens
P38484,IFNGR2,Homo sapiens
P08779,KRT16,Homo sapiens
P49441,INPP1,Homo sapiens
P26006,ITGA3,Homo sapiens
Q8IYV9,IZUMO1,Homo sapiens
P12268,IMPDH2,Homo sapiens
Q86VZ6,JAZF1,Homo sapiens
Q6B0I6,KDM4D,Homo sapiens
Q8TBQ9,TMEM167A,Homo sapiens
P33176,KIF5B,Homo sapiens
Q14952,KIR2DS3,Homo sapiens
Q719H9,KCTD1,Homo sapiens
Q3LI63,KRTAP20-1,Homo sapiens
Q9NPI9,KCNJ16,Homo sapiens
Q15842,KCNJ8,Homo sapiens
Q96PQ7,KLHL5,Homo sapiens
Q8WZ60,KLHL6,Homo sapiens
P05771,PRKCB,Homo sapiens
A0A0C4DH73,IGKV1-12,Homo sapiens
Q9BVA0,KATNB1,Homo sapiens
O75387,SLC43A1,Homo sapiens
Q5TCM9,LCE5A,Homo sapiens
Q86VZ4,LRP11,Homo sapiens
Q8N386,LRRC25,Homo sapiens
Q8N7C0,LRRC52,Homo sapiens
Q9UFC0,LRWD1,Homo sapiens
Q9BRT6,LLPH,Homo sapiens
Q6P5Q4,LMOD2,Homo sapiens
Q6MZP7,LIN54,Homo sapiens
D6RGH6,MCIDAS,Homo sapiens
Q9NTJ4,MAN2C1,Homo sapiens
Q9UBF1,MAGEC2,Homo sapiens
Q9H213,MAGEH1,Homo sapiens
P59942,MCCD1,Homo sapiens
Q6ZN04,MEX3B,Homo sapiens
P01700,IGLV1-47,Homo sapiens
Q8NA72,POC5,Homo sapiens
Q8WZ82,OVCA2,Homo sapiens
Q01453,PMP22,Homo sapiens
Q9ULU4,ZMYND8,Homo sapiens
Q9P215,POGK,Homo sapiens
Q04941,PLP2,Homo sapiens
P62714,PPP2CB,Homo sapiens
Q8WXW3,PIBF1,Homo sapiens
Q5SXH7,PLEKHS1,Homo sapiens
Q7Z736,PLEKHH3,Homo sapiens
Q0VAA5,PLCXD2,Homo sapiens
Q6ZWE6,PLEKHM3,Homo sapiens
Q53GL0,PLEKHO1,Homo sapiens
Q9H3Y8,PPDPF,Homo sapiens
Q5THK1,PRR14L,Homo sapiens
Q8TBF5,PIGX,Homo sapiens
P02810,PRH1,Homo sapiens
Q92901,RPL3L,Homo sapiens
Q9Y3U8,RPL36,Homo sapiens
Q96DB5,RMDN1,Homo sapiens
Q8WVD5,RNF141,Homo sapiens
Q8TEB7,RNF128,Homo sapiens
Q5XPI4,RNF123,Homo sapiens
Q6ZMZ0,RNF19B,Homo sapiens
Q9BY78,RNF26,Homo sapiens
Q6ZSG1,RNF165,Homo sapiens
Q96EX2,RNFT2,Homo sapiens
Q8NCN4,RNF169,Homo sapiens
Q2M238,RRN3P1,Homo sapiens
Q9NWU5,MRPL22,Homo sapiens
Q3B726,POLR1F,Homo sapiens
P52198,RND2,Homo sapiens
Q13905,RAPGEF1,Homo sapiens
Q9UNE2,RPH3AL,Homo sapiens
Q8N5N7,MRPL50,Homo sapiens
Q6ZUB1,SPATA31E1,Homo sapiens
Q9NTN3,SLC35D1,Homo sapiens
P23297,S100A1,Homo sapiens
Q9BZR6,RTN4R,Homo sapiens
Q8N8U3,RTL3,Homo sapiens
Q9BZW2,SLC13A1,Homo sapiens
Q9NSD5,SLC6A13,Homo sapiens
Q8N488,RYBP,Homo sapiens
Q9BVN2,RUSC1,Homo sapiens
Q6P087,RPUSD3,Homo sapiens
Q6ZMH5,SLC39A5,Homo sapiens
Q9C0K1,SLC39A8,Homo sapiens
Q9HAB3,SLC52A2,Homo sapiens
Q9UQR0,SCML2,Homo sapiens
P58004,SESN2,Homo sapiens
P58005,SESN3,Homo sapiens
Q13228,SELENBP1,Homo sapiens
O15126,SCAMP1,Homo sapiens
Q9Y6X0,SETBP1,Homo sapiens
O95754,SEMA4F,Homo sapiens
Q12884,FAP,Homo sapiens
Q14524,SCN5A,Homo sapiens
O75920,SERF1A,Homo sapiens
Q9BYC2,OXCT2,Homo sapiens
Q99932,SPAG8,Homo sapiens
Q6RVD6,SPATA8,Homo sapiens
Q7Z614,SNX20,Homo sapiens
O43173,ST8SIA3,Homo sapiens
Q92835,INPP5D,Homo sapiens
P0CG40,SP9,Homo sapiens
Q969G3,SMARCE1,Homo sapiens
P0C7M3,SFTA3,Homo sapiens
O15357,INPPL1,Homo sapiens
Q13291,SLAMF1,Homo sapiens
Q96EQ0,SGTB,Homo sapiens
O14492,SH2B2,Homo sapiens
A0A1B0GW64,SMIM33,Homo sapiens
Q9Y2Z0,SUGT1,Homo sapiens
O15198,SMAD9,Homo sapiens
Q8IZP2,ST13P4,Homo sapiens
P43307,SSR1,Homo sapiens
O15061,SYNM,Homo sapiens
Q71U36,TUBA1A,Homo sapiens
Q9H4B7,TUBB1,Homo sapiens
Q93075,TATDN2,Homo sapiens
Q9P1P4,TAAR3P,Homo sapiens
Q8IV01,SYT12,Homo sapiens
Q8NBV8,SYT8,Homo sapiens
Q9BVX2,TMEM106C,Homo sapiens
P09758,TACSTD2,Homo sapiens
Q9Y5J6,TIMM10B,Homo sapiens
Q8IW70,TMEM151B,Homo sapiens
Q9UI15,TAGLN3,Homo sapiens
P59541,TAS2R30,Homo sapiens
Q06190,PPP2R3A,Homo sapiens
Q8IXQ8,PDZD9,Homo sapiens
Q5H8A4,PIGG,Homo sapiens
O75807,PPP1R15A,Homo sapiens
Q96MT3,PRICKLE1,Homo sapiens
Q9H4Q3,PRDM13,Homo sapiens
Q6UWS5,PET117,Homo sapiens
P10082,PYY,Homo sapiens
Q9H0J4,QRICH2,Homo sapiens
O00391,QSOX1,Homo sapiens
Q06609,RAD51,Homo sapiens
P27708,CAD,Homo sapiens
Q6WBX8,RAD9B,Homo sapiens
Q15415,RBMY1F,Homo sapiens
O75901,RASSF9,Homo sapiens
Q86YV0,RASAL3,Homo sapiens
Q9ULC3,RAB23,Homo sapiens
Q9GZR2,REXO4,Homo sapiens
P15927,RPA2,Homo sapiens
O15492,RGS16,Homo sapiens
Q96L33,RHOV,Homo sapiens
Q2KHR2,RFX7,Homo sapiens
A6NNM3,RIMBP3B,Homo sapiens
Q9UJD0,RIMS3,Homo sapiens
Q9H4K1,RIBC2,Homo sapiens
Q8N264,ARHGAP24,Homo sapiens
Q8N5U6,RNF10,Homo sapiens
Q93091,RNASE6,Homo sapiens
Q9BXT8,RNF17,Homo sapiens
Q9H2S5,RNF39,Homo sapiens
O95602,POLR1A,Homo sapiens
Q6P5S7,RNASEK,Homo sapiens
P62244,RPS15A,Homo sapiens
Q6ZQQ2,SPATA31D1,Homo sapiens
Q5TZJ5,SPATA31A1,Homo sapiens
P0C7Q6,SLC35G6,Homo sapiens
Q9NQC3,RTN4,Homo sapiens
Q8TBP6,SLC25A40,Homo sapiens
Q96T51,RUFY1,Homo sapiens
Q59EK9,RUNDC3A,Homo sapiens
Q9Y399,MRPS2,Homo sapiens
Q86SK9,SCD5,Homo sapiens
Q8N1S5,SLC39A11,Homo sapiens
Q8WU76,SCFD2,Homo sapiens
Q9UMX9,SLC45A2,Homo sapiens
O75396,SEC22B,Homo sapiens
A0A286YF60,SCYGR3,Homo sapiens
Q8WVN6,SECTM1,Homo sapiens
Q0VDG4,SCRN3,Homo sapiens
Q9NX18,SDHAF2,Homo sapiens
P60896,SEM1,Homo sapiens
Q5TF21,SOGA3,Homo sapiens
Q08AF3,SLFN5,Homo sapiens
Q6IA17,SIGIRR,Homo sapiens
Q8N4L4,SPEM1,Homo sapiens
Q9H9C1,VIPAS39,Homo sapiens
Q9BQI6,SLF1,Homo sapiens
Q9BXW3,SNHG12,Homo sapiens
Q495Y7,SPDYE7P,Homo sapiens
Q499Z3,SLFNL1,Homo sapiens
Q8IW52,SLITRK4,Homo sapiens
Q9NYB5,SLCO1C1,Homo sapiens
Q11201,ST3GAL1,Homo sapiens
P48431,SOX2,Homo sapiens
P23497,SP100,Homo sapiens
O75159,SOCS5,Homo sapiens
Q9UJC5,SH3BGRL2,Homo sapiens
Q9NRQ5,SMCO4,Homo sapiens
Q9UN79,SOX13,Homo sapiens
Q96E16,SMIM19,Homo sapiens
Q9H788,SH2D4A,Homo sapiens
Q8TF72,SHROOM3,Homo sapiens
Q9H5K3,POMK,Homo sapiens
Q9BZL3,SMIM3,Homo sapiens
Q96ST3,SIN3A,Homo sapiens
O75431,MTX2,Homo sapiens
Q9BV57,ADI1,Homo sapiens
Q9H3R2,MUC13,Homo sapiens
Q1L6U9,MSMP,Homo sapiens
O14931,NCR3,Homo sapiens
P61601,NCALD,Homo sapiens
P59045,NLRP11,Homo sapiens
Q9Y4I5,TESMIN,Homo sapiens
P12525,MYCLP1,Homo sapiens
Q9GZZ1,NAA50,Homo sapiens
A0A1B0GTQ4,MYMX,Homo sapiens
Q9UHE5,NAT8,Homo sapiens
Q8NC67,NETO2,Homo sapiens
Q6NVV3,NIPAL1,Homo sapiens
Q9UBE8,NLK,Homo sapiens
O75323,NIPSNAP2,Homo sapiens
Q13469,NFATC2,Homo sapiens
Q9HAN9,NMNAT1,Homo sapiens
Q6VVB1,NHLRC1,Homo sapiens
Q13952,NFYC,Homo sapiens
Q9C002,NMES1,Homo sapiens
O00476,SLC17A3,Homo sapiens
Q13823,GNL2,Homo sapiens
Q9NSY0,NRBP2,Homo sapiens
Q86WQ0,NR2C2AP,Homo sapiens
Q9H255,OR51E2,Homo sapiens
Q6IFG1,OR52E8,Homo sapiens
Q8NH74,OR10A6,Homo sapiens
Q86Y26,NUTM1,Homo sapiens
Q8NH21,OR4F5,Homo sapiens
Q5T2D3,OTUD3,Homo sapiens
Q9UKG9,CROT,Homo sapiens
Q8WZA6,OR1E3,Homo sapiens
Q9NZP0,OR6C3,Homo sapiens
Q8NGM9,OR8D4,Homo sapiens
Q8NGE1,OR6C4,Homo sapiens
Q8NGU4,OR2I1P,Homo sapiens
Q9Y3B8,REXO2,Homo sapiens
O95047,OR2A4,Homo sapiens
Q8NGT1,OR2K2,Homo sapiens
Q9Y3N9,OR2W1,Homo sapiens
Q7Z3T1,OR2W3,Homo sapiens
Q13416,ORC2,Homo sapiens
I0J062,PANO1,Homo sapiens
Q02548,PAX5,Homo sapiens
Q9UHG2,PCSK1N,Homo sapiens
Q8NBL1,POGLUT1,Homo sapiens
O15305,PMM2,Homo sapiens
Q496M5,PLK5,Homo sapiens
Q6PJE2,POMZP3,Homo sapiens
P19174,PLCG1,Homo sapiens
P0DI80,SMIM6,Homo sapiens
A0A1B0GU29,SMIM28,Homo sapiens
P63208,SKP1,Homo sapiens
B2RUZ4,SMIM1,Homo sapiens
Q9Y6J8,STYXL1,Homo sapiens
Q9UMX1,SUFU,Homo sapiens
Q9BR01,SULT4A1,Homo sapiens
P09132,SRP19,Homo sapiens
Q7RTN6,STRADA,Homo sapiens
Q9NRL3,STRN4,Homo sapiens
P51687,SUOX,Homo sapiens
P41252,IARS1,Homo sapiens
Q5T2D2,TREML2,Homo sapiens
Q6UXN2,TREML4,Homo sapiens
P68366,TUBA4A,Homo sapiens
Q9UPU7,TBC1D2B,Homo sapiens
A0A087X1G2,TBC1D3K,Homo sapiens
Q9NUJ3,TCP11L1,Homo sapiens
P59534,TAS2R39,Homo sapiens
Q15813,TBCE,Homo sapiens
Q70YC4,ZNF365,Homo sapiens
Q9H7F4,TMEM185B,Homo sapiens
P17542,TAL1,Homo sapiens
Q07654,TFF3,Homo sapiens
Q96QE5,TEFM,Homo sapiens
Q5VZ19,TDRD10,Homo sapiens
Q9NWX6,THG1L,Homo sapiens
P20226,TBP,Homo sapiens
Q96EK4,THAP11,Homo sapiens
O15119,TBX3,Homo sapiens
Q86X19,TMEM17,Homo sapiens
P13385,TDGF1,Homo sapiens
Q7Z410,TMPRSS9,Homo sapiens
Q9Y2Y6,TMEM98,Homo sapiens
Q9H892,TTC12,Homo sapiens
P98066,TNFAIP6,Homo sapiens
Q9BU70,TRMO,Homo sapiens
Q5VY80,RAET1L,Homo sapiens
A6NDG6,PGP,Homo sapiens
Q8N4L2,PIP4P2,Homo sapiens
P78356,PIP4K2B,Homo sapiens
P27169,PON1,Homo sapiens
P25789,PSMA4,Homo sapiens
A0A096LP55,UQCRHL,Homo sapiens
Q3MIT2,PUS10,Homo sapiens
Q96QR8,PURB,Homo sapiens
O60671,RAD1,Homo sapiens
Q96EV2,RBM33,Homo sapiens
Q96HA9,PEX11G,Homo sapiens
Q9Y388,RBMX2,Homo sapiens
Q9UKM9,RALY,Homo sapiens
Q86UN2,RTN4RL1,Homo sapiens
Q96IC2,REXO5,Homo sapiens
P61018,RAB4B,Homo sapiens
Q8N4Z0,RAB42,Homo sapiens
P61586,RHOA,Homo sapiens
O00212,RHOD,Homo sapiens
P36578,RPL4,Homo sapiens
P46777,RPL5,Homo sapiens
Q92730,RND1,Homo sapiens
Q9H9Y2,RPF1,Homo sapiens
Q9H0U6,MRPL18,Homo sapiens
Q684P5,RAP1GAP2,Homo sapiens
Q9BYD1,MRPL13,Homo sapiens
P62263,RPS14,Homo sapiens
Q5VWQ0,RSBN1,Homo sapiens
Q96S79,RASL10B,Homo sapiens
P62241,RPS8,Homo sapiens
Q9UHP6,RSPH14,Homo sapiens
P62308,SNRPG,Homo sapiens
Q9Y2V3,RAX,Homo sapiens
Q9NSN8,SNTG1,Homo sapiens
O75093,SLIT1,Homo sapiens
Q6IEG0,SNRNP48,Homo sapiens
Q9H173,SIL1,Homo sapiens
Q8IYM2,SLFN12,Homo sapiens
Q9UIG8,SLCO3A1,Homo sapiens
Q14BN4,SLMAP,Homo sapiens
Q9UNH7,SNX6,Homo sapiens
Q68D06,SLFN13,Homo sapiens
Q9H4F1,ST6GALNAC4,Homo sapiens
O75908,SOAT2,Homo sapiens
P57073,SOX8,Homo sapiens
Q9NZQ3,NCKIPSD,Homo sapiens
Q8IXZ3,SP8,Homo sapiens
P0C7V6,SUPT20HL2,Homo sapiens
Q14940,SLC9A5,Homo sapiens
Q9NYA1,SPHK1,Homo sapiens
Q9BTD1,SHANK2-AS3,Homo sapiens
Q7Z6J0,SH3RF1,Homo sapiens
A0A1B0GVY4,SMIM31,Homo sapiens
Q9ULL8,SHROOM4,Homo sapiens
P30874,SSTR2,Homo sapiens
O60284,ST18,Homo sapiens
Q5T6F2,UBAP2,Homo sapiens
A6NNY8,USP27X,Homo sapiens
Q9BZX2,UCK2,Homo sapiens
Q96RU2,USP28,Homo sapiens
P0CG35,TMSB15B,Homo sapiens
P21675,TAF1,Homo sapiens
Q7Z7C8,TAF8,Homo sapiens
Q9NP81,SARS2,Homo sapiens
Q9NYW6,TAS2R3,Homo sapiens
Q8N5C8,TAB3,Homo sapiens
A6NER0,TBC1D3F,Homo sapiens
Q8WVE7,TMEM170A,Homo sapiens
Q7L7X3,TAOK1,Homo sapiens
Q96LR4,TAFA4,Homo sapiens
Q2MV58,TCTN1,Homo sapiens
Q92994,BRF1,Homo sapiens
Q5QJE6,DNTTIP2,Homo sapiens
O60507,TPST1,Homo sapiens
Q2T9K0,TMEM44,Homo sapiens
Q96LD4,TRIM47,Homo sapiens
Q9NR97,TLR8,Homo sapiens
P23510,TNFSF4,Homo sapiens
Q06643,LTB,Homo sapiens
Q9NV29,TMEM100,Homo sapiens
Q7Z402,TMC7,Homo sapiens
Q9BVT8,TMUB1,Homo sapiens
Q8IU68,TMC8,Homo sapiens
A0A0B4J274,TRAV20,Homo sapiens
A0A576,TRBV3-1,Homo sapiens
Q9BX84,TRPM6,Homo sapiens
Q8NHH1,TTLL11,Homo sapiens
A0A0K0K1D8,TRBV6-1,Homo sapiens
A6NH52,TVP23A,Homo sapiens
Q01534,TSPY1,Homo sapiens
D6RBQ6,USP17L17,Homo sapiens
P35503,UGT1A3,Homo sapiens
Q7Z412,PEX26,Homo sapiens
P41219,PRPH,Homo sapiens
Q8IZL8,PELP1,Homo sapiens
Q9Y6X2,PIAS3,Homo sapiens
Q9BSU1,PHAF1,Homo sapiens
O43660,PLRG1,Homo sapiens
Q9NRZ5,AGPAT4,Homo sapiens
P04156,PRNP,Homo sapiens
Q5VT98,PRAMEF20,Homo sapiens
O75915,ARL6IP5,Homo sapiens
O95685,PPP1R3D,Homo sapiens
Q8IV42,PSTK,Homo sapiens
P51817,PRKX,Homo sapiens
Q9NQV7,PRDM9,Homo sapiens
Q9NQX0,PRDM6,Homo sapiens
Q9NRG1,PRTFDC1,Homo sapiens
P18433,PTPRA,Homo sapiens
Q86Y79,PTRH1,Homo sapiens
Q96DM3,RMC1,Homo sapiens
Q9Y3C5,RNF11,Homo sapiens
Q8N5L8,RPP25L,Homo sapiens
Q7Z2W9,MRPL21,Homo sapiens
Q8IXW5,RPAP2,Homo sapiens
O15318,POLR3G,Homo sapiens
Q8TD47,RPS4Y2,Homo sapiens
Q9UIY3,RWDD2A,Homo sapiens
Q9UHR5,SAP30BP,Homo sapiens
Q2MKA7,RSPO1,Homo sapiens
O75391,SPAG7,Homo sapiens
P0DUD4,SPDYE15,Homo sapiens
Q9BRT9,GINS4,Homo sapiens
O75094,SLIT3,Homo sapiens
Q5MJ68,SPDYC,Homo sapiens
Q8NEY3,SPATA4,Homo sapiens
Q9H0K1,SIK2,Homo sapiens
P57059,SIK1,Homo sapiens
Q9BRV8,SIKE1,Homo sapiens
O75324,SNN,Homo sapiens
Q9Y274,ST3GAL6,Homo sapiens
P61647,ST8SIA6,Homo sapiens
P00441,SOD1,Homo sapiens
Q96NB2,SFXN2,Homo sapiens
Q2M3C7,SPHKAP,Homo sapiens
Q8NEM2,SHCBP1,Homo sapiens
P51532,SMARCA4,Homo sapiens
Q8IY92,SLX4,Homo sapiens
O60902,SHOX2,Homo sapiens
Q9H3Y6,SRMS,Homo sapiens
Q9NWM0,SMOX,Homo sapiens
Q7RTT3,SSX9P,Homo sapiens
Q16385,SSX2,Homo sapiens
Q9UH65,SWAP70,Homo sapiens
P0CL85,STAG3L3,Homo sapiens
O00204,SULT2B1,Homo sapiens
Q96L08,SUSD3,Homo sapiens
O15020,SPTBN2,Homo sapiens
Q8NEF9,SRFBP1,Homo sapiens
Q86TL2,STIMATE,Homo sapiens
Q9Y6E0,STK24,Homo sapiens
O43609,SPRY1,Homo sapiens
Q9BT56,SPX,Homo sapiens
P32856,STX2,Homo sapiens
Q5MJ09,SPANXN3,Homo sapiens
Q9P246,STIM2,Homo sapiens
Q8NHG7,SVIP,Homo sapiens
O94804,STK10,Homo sapiens
Q9BYT3,STK33,Homo sapiens
Q8WWF3,SSMEM1,Homo sapiens
Q9H040,SPRTN,Homo sapiens
Q9NP77,SSU72,Homo sapiens
Q8TCT6,SPPL3,Homo sapiens
Q01081,U2AF1,Homo sapiens
O95379,TNFAIP8,Homo sapiens
Q9Y4F4,TOGARAM1,Homo sapiens
Q8WUA4,GTF3C2,Homo sapiens
Q15569,TESK1,Homo sapiens
Q14188,TFDP2,Homo sapiens
Q96CP7,TLCD1,Homo sapiens
Q9H3H9,TCEAL2,Homo sapiens
Q92526,CCT6B,Homo sapiens
Q12767,TMEM94,Homo sapiens
Q6UXU6,TMEM92,Homo sapiens
Q5T0D9,TPRG1L,Homo sapiens
Q14142,TRIM14,Homo sapiens
P09493,TPM1,Homo sapiens
Q9UDY6,TRIM10,Homo sapiens
Q9BVS5,TRMT61B,Homo sapiens
Q96DC7,TMCO6,Homo sapiens
Q8WV44,TRIM41,Homo sapiens
Q6PJ69,TRIM65,Homo sapiens
Q9NUP7,TRMT13,Homo sapiens
A0PJW6,TMEM223,Homo sapiens
A0A0U1RQS6,TMEM275,Homo sapiens
Q9UKI8,TLK1,Homo sapiens
Q9BRN9,TM2D3,Homo sapiens
Q9NX00,TMEM160,Homo sapiens
A0A087WTH1,TMEM265,Homo sapiens
A0A1B0GTI8,TMEM272,Homo sapiens
Q9Y210,TRPC6,Homo sapiens
A0A5B7,TRBV29-1,Homo sapiens
A6NNM8,TTLL13P,Homo sapiens
A0A1B0GX49,TRBV6-4,Homo sapiens
Q9BXA6,TSSK6,Homo sapiens
P0C672,TSPAN19,Homo sapiens
P09466,PAEP,Homo sapiens
Q9UPG8,PLAGL2,Homo sapiens
Q7Z3Z3,PIWIL3,Homo sapiens
Q9BZE2,PUS3,Homo sapiens
Q9H477,RBKS,Homo sapiens
A6NDE4,RBMY1B,Homo sapiens
A1KZ92,PXDNL,Homo sapiens
P51151,RAB9A,Homo sapiens
P28749,RBL1,Homo sapiens
Q96S59,RANBP9,Homo sapiens
P10114,RAP2A,Homo sapiens
P43487,RANBP1,Homo sapiens
Q8WWW0,RASSF5,Homo sapiens
Q6IQ22,RAB12,Homo sapiens
P11233,RALA,Homo sapiens
Q92930,RAB8B,Homo sapiens
Q9UBZ9,REV1,Homo sapiens
Q5T5U3,ARHGAP21,Homo sapiens
Q5TG30,ARHGAP40,Homo sapiens
O43251,RBFOX2,Homo sapiens
Q9Y3P4,RHBDD3,Homo sapiens
Q52LD8,RFTN2,Homo sapiens
P48382,RFX5,Homo sapiens
P18077,RPL35A,Homo sapiens
O00584,RNASET2,Homo sapiens
Q96K19,RNF170,Homo sapiens
Q96C74,ROPN1L,Homo sapiens
P60602,ROMO1,Homo sapiens
Q8TCC3,MRPL30,Homo sapiens
P35398,RORA,Homo sapiens
Q9BYD6,MRPL1,Homo sapiens
Q8TEU7,RAPGEF6,Homo sapiens
Q96EL3,MRPL53,Homo sapiens
P24928,POLR2A,Homo sapiens
P46783,RPS10,Homo sapiens
O95059,RPP14,Homo sapiens
Q5PRF9,SAMD4B,Homo sapiens
Q14683,SMC1A,Homo sapiens
Q9UQQ2,SH2B3,Homo sapiens
Q99909,SSX3,Homo sapiens
O94768,STK17B,Homo sapiens
Q9NY57,STK32B,Homo sapiens
Q9Y2H1,STK38L,Homo sapiens
Q9UGK3,STAP2,Homo sapiens
Q8NCC5,SLC37A3,Homo sapiens
Q9NUV7,SPTLC3,Homo sapiens
Q8WXF0,SRSF12,Homo sapiens
O95926,SYF2,Homo sapiens
P62328,TMSB4X,Homo sapiens
Q4VX76,SYTL3,Homo sapiens
A6NHL2,TUBAL3,Homo sapiens
Q15545,TAF7,Homo sapiens
Q9NYW3,TAS2R7,Homo sapiens
Q8WV15,TMEM255B,Homo sapiens
P35269,GTF2F1,Homo sapiens
Q9BQ87,TBL1Y,Homo sapiens
Q99594,TEAD3,Homo sapiens
Q969F1,GTF3C6,Homo sapiens
Q6ZUK4,TMEM26,Homo sapiens
P54274,TERF1,Homo sapiens
Q8IYL2,TRMT44,Homo sapiens
Q9NRS4,TMPRSS4,Homo sapiens
Q9HC21,SLC25A19,Homo sapiens
Q9Y2W1,THRAP3,Homo sapiens
Q7Z7H5,TMED4,Homo sapiens
Q96B77,TMEM186,Homo sapiens
Q15025,TNIP1,Homo sapiens
A0A1B0GXF2,TRBV7-2,Homo sapiens
A0A0A6YYC5,TRAV14DV4,Homo sapiens
A6NN06,,Homo sapiens
Q8NB14,USP38,Homo sapiens
P35125,USP6,Homo sapiens
Q8IWV7,UBR1,Homo sapiens
Q9P2H5,USP35,Homo sapiens
O15195,VILL,Homo sapiens
O00264,PGRMC1,Homo sapiens
Q15126,PMVK,Homo sapiens
P60510,PPP4C,Homo sapiens
Q8TCS8,PNPT1,Homo sapiens
P53816,PLAAT3,Homo sapiens
P46781,RPS9,Homo sapiens
P62081,RPS7,Homo sapiens
O15260,SURF4,Homo sapiens
Q13501,SQSTM1,Homo sapiens
Q9UH36,SRRD,Homo sapiens
P62857,RPS28,Homo sapiens
P62273,RPS29,Homo sapiens
P62304,SNRPE,Homo sapiens
Q9Y265,RUVBL1,Homo sapiens
O14975,SLC27A2,Homo sapiens
Q6PCB7,SLC27A1,Homo sapiens
P48443,RXRG,Homo sapiens
Q5VYP0,SPATA31A3,Homo sapiens
Q96QD8,SLC38A2,Homo sapiens
Q9Y694,SLC22A7,Homo sapiens
Q9Y224,RTRAF,Homo sapiens
Q9NRA2,SLC17A5,Homo sapiens
Q8N755,SLC66A3,Homo sapiens
Q8WUT9,SLC25A43,Homo sapiens
A1A4F0,SLC66A1L,Homo sapiens
P82663,MRPS25,Homo sapiens
Q9BQC6,MRPL57,Homo sapiens
Q9BY07,SLC4A5,Homo sapiens
Q8TDM5,SPACA4,Homo sapiens
Q7Z3Q1,SLC46A3,Homo sapiens
Q58EX2,SDK2,Homo sapiens
Q6UVJ0,SASS6,Homo sapiens
Q6UWF3,SCIMP,Homo sapiens
Q7Z6J9,TSEN54,Homo sapiens
Q15036,SNX17,Homo sapiens
Q9BV90,SNRNP25,Homo sapiens
